artist_id,name,followers,artist_popularity,genre_1,genre_2,genre_3
7ur9H6w9OqIgWrmM2GUWuB,Axel Rulay,8210,35,,,
7uQZyFwAdkSIDS969dWIie,FYLOW,1442,37,,,
7uqkh98VQfUz1W11Hu9NQb,Smooth Times,339,4,,,
7uQKEVinGAYTUk821fZbg1,benzofuego,2404,10,,,
7uQEX21nb54BCMm0L24BAM,Gepetto Jackson,99,1,,,
7up6cEVTOosSVMkik86Fzx,Grand Am,943,9,,,
7up3ZvYXcpKc29tHBgt8GJ,Magnolia Drake,14,0,,,
7uNNmzkmSLXDnkNdGCx4h8,Fran Perry,1,1,,,
7umlRnB1n0M2zR3zcb4yAu,LG90,27,0,,,
7umAFofBQpkQGoh73soJOv,Jo'ce,233,3,,,
7ulRwjhVI0SphO18hsn8Hz,Alan Uhler,56,0,,,
7uLd0PiJiClTtinDEv1VIH,Mirir,3,1,,,
7uL0vB887nPrW7gksbkqQt,Reading Jazz Lounge Background Music,2605,49,background jazz,,
7ukU2IyqxXp80Jnxf4lzTv,陈鸿宇,16784,24,chinese minyao,,
7ukAQMqBTOBIY2BGKcnzb5,Mark Cole,29,3,,,
7uK9dPbfyG3PM3gwf2DQhY,Matthew Costello,5343,40,,,
7uJx3C4NNrmw47ef7wzgtY,Sydney Backing Tracks,97,2,,,
7ujOCv2i4uuWKigYzE0pOc,Cheb Hakim,71449,24,rai algerien,,
7uhYm3jkkGokLHaxi3PceF,MLQ 2N,321,12,,,
7ugNN1DNxGcLGs7lvCMGuT,Rayonne Hype,12,0,,,
7uGhSk7fVURjDaiXW1FSbL,La Maquinaria Norteña,500285,62,musica mexicana,norteno,norteno-sax
7uf0Uigzm6Ql29TZguccLi,Anci La Ricci,3721,21,lagu bugis,,
7uEYcr1E2zobf41fVB2knz,Fifth,645,3,,,
